order-line,Assembly Line,Scheduled Ship Date,Orig Sched Date,Status,Sales Category,Rework,Order,Sched Date Priority,Issue Reason,Issue Resolved,Contains Tag,Line,Rel,Open Qty,Total Sections,Product Code,Final Assembly,Open Value,Open Discount Value,Comment,Sales Rep Code,PM,Operations Meeting Comments,Production Comment,Fixture Type,Pick Status,MachineShop Delivered,Wiring Delivered,Production Issue,NT,Material Check,Missing Materials,Schedule Date,Status2,Production Schedule,Unit Price,Unit Time,Section Completed,Remaining Section,Remaining value,Remaining Time,Issue,Rep. Count,Year,Month,Date,Order Count,Complete/Partial,Saw,BA ,weld,lens
79502-2,12,2/6/2019,2/6/2019,Machine Shop Started,Replacement,FALSE,79502,High Priority,,FALSE,,2,1,1,1,BMRLED-575-80-30-FL-2-W-UNV-DP-1-ST-C(FILLER),3.2,160,0,ROCKEFELLER - NEW TO WEEK - URGENT!!!FEDEX PRIORITY,Internat,Robert Lipura,,,146/145-4.50(26 NW BMR),,2/5/2019 0:00,,FALSE,FALSE,NO,,,Machine Shop Started,,160,3.2,0,1,160,3.2,,0,2019,2,6,1,Complete,#N/A,#N/A,#N/A,#N/A
79170-1,10,2/1/2019,2/1/2019,Order UnShipped,Replacement,FALSE,79170,Regular,,FALSE,,1,1,80,0,RECESSED DRYWALL MOUNTING KITS- POWERED  3 WIRES - DAY-DIA-DUO-PLANO-WAVE - 1X1,0,1968,0,PLEASE PRODUCE DRYWALL KIT ONLY 1X1,IllumBos,Daljit Singh,Ship:2/4  Edited on 2/1/2019 ,,,,,,FALSE,FALSE,NO,Material+Cartridge,,Order UnShipped,,#DIV/0!,#DIV/0!,0,0,#DIV/0!,#DIV/0!,,1,2019,2,1,1,Complete,TRUE,TRUE,,
78545-1,12,2/7/2019,2/7/2019,Machine Shop Started,Regular,FALSE,78545,Regular,,FALSE,,1,1,6,6,"SCDLAC-AC(2)-D36-HX-D-500-80-30-FL-4'-BLK-UNV-DP-1-CT9(60"")",28.638,2640,0,,Smart Li,Zahra Vatani,,,A-4',Picked - Complete,,2/4/2019 0:00,FALSE,FALSE,NO,#NAME?,,Machine Shop Started,,440,4.773,0,6,2640,28.638,,1,2019,2,7,1,Complete,FALSE,FALSE,,
72221-1,7,2/7/2019,2/7/2019,Machine Shop Finished,Regular,FALSE,72221,Regular,,FALSE,,1,1,13,13,BDLED-1000-80-35-SO-4-W-UNV-DP-1-CTS(36),62.4,3952,0,,Enterpri,Jessica Pasternyk,,,L13,,,2/4/2019 0:00,FALSE,FALSE,NO,Material,,Machine Shop Finished - Incomplete,,304,4.8,0,13,3952,62.4,,1,2019,2,7,2,Partial,TRUE,TRUE,,Done
72221-2,7,2/7/2019,2/7/2019,Machine Shop Started,Regular,FALSE,72221,Regular,,FALSE,,2,1,14,14,BDLED-1000-80-35-SO-6-W-UNV-DP-1-CTS(36),105,6370,0,,Enterpri,Jessica Pasternyk,,,L13-6',,,,FALSE,FALSE,NO,Material,,Machine Shop Started,,455,7.5,0,14,6370,105,,1,2019,2,7,2,Partial,TRUE,FALSE,,Done
72221-3,7,2/7/2019,2/7/2019,Machine Shop Finished,Regular,FALSE,72221,Regular,,FALSE,,3,1,12,12,BDLED-1000-80-35-SO-8-W-UNV-DP-1-CTS(36),90,7278,0,,Enterpri,Jessica Pasternyk,,,L13-8,,,2/4/2019 0:00,FALSE,FALSE,NO,Material,,Machine Shop Finished - Incomplete,,606.5,7.5,0,12,7278,90,,0,2019,2,7,2,Partial,TRUE,TRUE,,Done
72221-4,7,2/7/2019,2/7/2019,Machine Shop Finished,Regular,FALSE,72221,Regular,,FALSE,,4,1,13,13,BSLED-750-80-35-SO-8-W-UNV-DP-1-SC,91,7670,0,,Enterpri,Jessica Pasternyk,,,L14,,,2/4/2019 0:00,FALSE,FALSE,NO,Material,,Machine Shop Finished - Incomplete,,590,7,0,13,7670,91,,0,2019,2,7,2,Partial,TRUE,TRUE,,Done
78491-1,15,2/6/2019,2/6/2019,Machine Shop Finished,Regular,FALSE,78491,Regular,,FALSE,,1,1,21,21,BDLED-1000-90-30-SO-4'-AP-UNV-DP-1-CA(72),100.8,5880,0,,Vanguard,Philip Halsey,,,PENDANT-4',,,,FALSE,FALSE,NO,,,Machine Shop Finished - Incomplete,,280,4.8,0,21,5880,100.8,,1,2019,2,6,1,Complete,TRUE,TRUE,,Done
76983-1,12,1/31/2019,1/31/2019,Machine Shop Finished,Regular,FALSE,76983,Regular,Shortage,FALSE,SUB ASSEMLY/EXTRUSION,1,1,1,2,WWS-SL-1000-90-35-16'-AP-UNV-DP-1-SC,11.2,1658,0,,CAL,Stan Buyansky,Extrusion eta: 2/1 - Ms:2/1  Edited on 1/31/2019  - Ms:2/3 - Kaushik to advise.  Edited on 2/1/2019 ::: Elizabeth to follow  Edited on 2/5/2019 ,,A,,,,FALSE,FALSE,NO,Material+Cartridge,,Machine Shop Finished - Incomplete,,829,5.6,0,2,1658,11.2,Shortage,1,2019,1,31,1,Complete,TRUE,TRUE,,Done
78889-1,4,2/8/2019,2/8/2019,Machine Shop Finished,Regular,FALSE,78889,Regular,,FALSE,,1,1,2,4,"CCH-SL-1100-80-35-CL(17' 4"")-W-UNV-DP-1-C",33.2,2880,0,,IllumBos,Philip Halsey,,,"C1-17' 4""",,,,FALSE,FALSE,OK,,,Machine Shop Finished -Ready,,720,8.3,0,4,2880,33.2,,1,2019,2,8,1,Complete,TRUE,TRUE,,Done
