Order, Line, Assigned Group, Start Date, Finish day, Ship day, Assembly Time, Status 
76592,10,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,8.4,6,
76592,11,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,12,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,13,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,14,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,15,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,8.4,6,
76592,16,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,17,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,18,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,8.4,6,
76592,20,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,8.4,6,
76592,21,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,8.4,6,
76592,23,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,20.0,6,
76592,24,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,4.0,6,
76592,25,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,4.0,6,
76592,26,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,27,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,28,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,29,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,30,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,31,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,32,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,33,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,34,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,8.4,6,
76592,35,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,36,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,10.6,6,
76592,37,7,2019-02-06 00:00:00,2019-02-06 00:00:00,2019-01-25,4.0,6,
76734,1,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,3.26,1,
76734,2,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,12.64,1,
76734,3,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,31.6,1,
76734,4,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,27.03,1,
76734,5,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,26.6,1,
76734,6,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,39.9,1,
78359,1,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,39.0,1,
78359,2,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,48.0,1,
77985,1,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-22,72.0,6,
77985,2,10,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-22,7.6,6,
77985,3,10,2019-02-02 00:00:00,2019-02-03 00:00:00,2019-01-22,540.0,6,
77985,4,10,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-22,8.0,6,
78340,1,10,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-22,62.4,6,
78340,2,10,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-22,48.0,6,
75966,8,10,2019-02-03 00:00:00,2019-02-04 00:00:00,2019-02-11,1040.0,6,
75966,1,10,2019-02-04 00:00:00,2019-02-05 00:00:00,2019-02-14,580.0,6,
76783,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-04,36.0,1,
76783,2,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-04,30.0,1,
76783,3,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-04,14.0,1,
77777,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-11,117.3,1,
77777,2,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-11,9.55,1,
77777,3,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-11,8.99,1,
77612,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-11,122.87,1,
77865,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-11,9.01,1,
77851,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,19.82,1,
78139,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,48.0,1,
77716,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,40.3,1,
77935,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,8.67,1,
77527,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-11,9.4,2,
77256,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-11,66.96,2,
78244,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,6.2,2,
75651,9,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,21.4,2,
75651,10,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,7.3,2,
