Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,Production Schedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,Column12,Real Status,Completed Sections,Remaining Sections,Saw,BA ,weld,lens,Product Name,Short Name,Order Issue
75801-18,,Rohan,Regular,FALSE,75801,Regular,18,1,0,130,LT05/2'-24TH,CLKLED-700-80-30-SO-2'-W-UNV-DP-1-AC-FW(6),18.02.2019,4.5,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,1,1,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.075,0:04:06,4.5,130,1,4.5,130,- ,Machine Shop Started,0,1,FALSE,FALSE,,,CLKLED-700-80-30-SO-2'-W-UNV-DP-1-AC-FW(6),CLKLED,
75801-19,,Rohan,Regular,FALSE,75801,Regular,19,1,0,455,LT05/6'-24TH,CLKLED-700-80-30-SO-6'-W-UNV-DP-1-AC-FW(6),18.02.2019,4.5,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,1,2,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.075,0:04:06,4.5,455,1,4.5,455,- ,Machine Shop Started,0,1,FALSE,FALSE,,,CLKLED-700-80-30-SO-6'-W-UNV-DP-1-AC-FW(6),CLKLED,
75801-20,,Rohan,Regular,FALSE,75801,Regular,20,2,0,1820,"LT05/13' 6""-24TH","CLKLED-700-80-30-SO-13' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,34,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,4,8,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.566666667,0:30:56,8.5,455,4,34,1820,- ,Machine Shop Started,0,4,FALSE,FALSE,,,"CLKLED-700-80-30-SO-13' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
75801-21,,Rohan,Regular,FALSE,75801,Regular,21,1,0,910,LT05/14'-24TH,CLKLED-700-80-30-SO-14'-W-UNV-DP-1-AC-FW(6),18.02.2019,17,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,2,4,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.283333333,0:15:28,8.5,455,2,17,910,- ,Machine Shop Started,0,2,FALSE,FALSE,,,CLKLED-700-80-30-SO-14'-W-UNV-DP-1-AC-FW(6),CLKLED,
75801-23,,Rohan,Regular,FALSE,75801,Regular,23,1,0,1170,"LT05/17' 6""-24TH","CLKLED-700-80-30-SO-17' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,17.5,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,3,5,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.291666667,0:15:56,5.833333333,390,3,17.5,1170,- ,Machine Shop Started,0,3,FALSE,FALSE,,,"CLKLED-700-80-30-SO-17' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
75801-24,,Rohan,Regular,FALSE,75801,Regular,24,2,0,2470,"LT05/18' 6""-24TH","CLKLED-700-80-30-SO-18' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,35,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,6,12,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.583333333,0:31:51,5.833333333,411.6666667,6,35,2470,- ,Machine Shop Started,0,6,FALSE,FALSE,,,"CLKLED-700-80-30-SO-18' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
75801-26,,Rohan,Regular,FALSE,75801,Regular,26,2,0,1100,"LT36, L 4'X4'-24TH",BDLEDPAT-OPR-90(1)-400-80-30-SO-8-EX-W-120-DP-1-CA(48),18.02.2019,24,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,TRUE,,A - Regular,1,6,4,,,,NO,Machine Shop Started,Material+Cartridge,,,0,#REF!,Complete,Others,TRUE,,0.4,0:21:50,4,183.3333333,6,24,1100,- ,Machine Shop Started,0,6,FALSE,FALSE,ToDo,,BDLEDPAT-OPR-90(1)-400-80-30-SO-8-EX-W-120-DP-1-CA(48),BDLEDPAT,
75801-27,,Rohan,Regular,FALSE,75801,Regular,27,2,0,1700,"LT36, U 4'X4'X4'-24TH",BDLEDPAT-OPR-90(2)-400-80-30-SO-12-EX-W-120-DP-1-CA(48),18.02.2019,34,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,6,6,,,,NO,Machine Shop Started,Material+Cartridge,,,0,#REF!,Complete,0,FALSE,0,0.566666667,0:30:56,5.666666667,283.3333333,6,34,1700,- ,Machine Shop Started,0,6,FALSE,FALSE,ToDo,,BDLEDPAT-OPR-90(2)-400-80-30-SO-12-EX-W-120-DP-1-CA(48),BDLEDPAT,
75801-30,,Rohan,Regular,FALSE,75801,Regular,30,1,0,455,LT05/7'-25TH,CLKLED-700-80-30-SO-7'-W-UNV-DP-1-AC-FW(6),18.02.2019,8.2,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,2,3,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.136666667,0:07:28,4.1,227.5,2,8.2,455,- ,Machine Shop Started,0,2,FALSE,FALSE,,,CLKLED-700-80-30-SO-7'-W-UNV-DP-1-AC-FW(6),CLKLED,
75801-31,,Rohan,Regular,FALSE,75801,Regular,31,1,0,520,"LT05/7' 6""-25TH","CLKLED-700-80-30-SO-7' 6""-W-UNV-DP-1-AC-FW(6)",18.02.2019,8.2,Machine Shop Started,"First release, LINES 16, 29, 37, 38, 39, 40   ---    DO NOT SHIP BEFORE 12/25

Second release - LINE 6/15/25/36/49/7/17/28/50 --- target ship date is January 4th, 2019

Line 41 – released, target ship date 12/27 (~$6000)

All types LT05 (~$40,000) – Target ship date 1/4/2019",,,,FALSE,,A - Regular,1,1,2,,,,NO,Machine Shop Started,Material,,,0,#REF!,Complete,0,FALSE,0,0.136666667,0:07:28,8.2,520,1,8.2,520,- ,Machine Shop Started,0,1,FALSE,FALSE,,,"CLKLED-700-80-30-SO-7' 6""-W-UNV-DP-1-AC-FW(6)",CLKLED,
