Order, Line, Status, Promised, Scheduled Ship Date, Issue, Missing Materials 
75859,30,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,35,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,38,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,41,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,44,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,46,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,48,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,52,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,53,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,55,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,58,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,60,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,63,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,65,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,68,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,72,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,75,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,76,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,93,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,95,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,96,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
75859,99,7,Regular,28.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
77878,1,7,Regular,15.01.2019,0,+lens+Housing,Complete,Machine Shop Finished
78207,1,7,Regular,23.01.2019,0,Material+lens+Housing,Complete,Scheduled/Released
78207,2,7,Regular,23.01.2019,0,Material+lens+Housing,Complete,Scheduled/Released
78207,3,7,Regular,23.01.2019,0,Material+lens+Housing,Complete,Scheduled/Released
74543,1,7,Regular,23.01.2019,0,Material+lens+Housing,Complete,Scheduled/Released
77992,1,7,High Priority,23.01.2019,0,Material+lens+Housing,Complete,Scheduled/Released
77992,2,7,High Priority,23.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
77992,3,7,High Priority,23.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
77611,1,7,Regular,23.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
77611,2,7,Regular,23.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
77611,3,7,Regular,23.01.2019,0,Material+lens+Housing,Complete,Scheduled/Released
76786,1,7,Regular,30.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
76786,2,7,Regular,30.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
76786,3,7,Regular,30.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
78071,1,7,Regular,25.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
78071,2,7,Regular,25.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
78071,3,7,Regular,25.01.2019,0,Material+lens+Cartridge+Housing,Complete,Scheduled/Released
