Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,Production Schedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Schedule dashboard,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,PRIORITY SEQUENCE,Column1,Column12,Real Status,PRIORITY2,Completed Sections,Remaining Sections,Column4,Saw,BA ,weld,lens,Product Name,Short Name,Order Issue
77249-12,,jatin,Mockup/Samples,FALSE,77249,High Priority,12,1,1020,1020,WALL EXEC,GPSLED-900-80-35-FL-12-W-UNV-DP-1-SBS-C(REMOTE ENLIGHTED INTEGRAL SENSOR),10.01.2019,10.21,Machine Shop Finished,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",Picked - Complete,,,TRUE,,A - Regular,"1,4,7",1,3,,,,OK,Machine Shop Finished -Ready,,15.01.2019,,0,2,,Missing parts in BOM,TRUE,,- ,0.170166667,0:09:17,10.21,1020,1,10.21,1020,,- ,- ,Wiring Started,,0,1,,TRUE,TRUE,,Done,GPSLED-900-80-35-FL-12-W-UNV-DP-1-SBS-C(REMOTE ENLIGHTED INTEGRAL SENSOR),GPSLED,Order Flagged
77249-15,,jatin,Mockup/Samples,FALSE,77249,High Priority,15,1,340,340,HR CORRIDOR,ED2-1000-80-35-UB-4-W-W-UNV-MD-1-45D-CA(36)-FL-C(REMOTE ENLIGHTED INTEGRAL SENSOR),24.01.2019,7.45,Scheduled/Released,"For Axis 
Lines 1-2-4-7-9-12 must be ready by 1/10.  Contractor waiting to install.",,,,FALSE,,A - Regular,"1,4,7",1,1,,,,NO,Scheduled/Released,Material+lens+Housing,,,0,2,,0,FALSE,0,- ,0.124166667,0:06:47,7.45,340,1,7.45,340,,- ,- ,Scheduled/Released,,0,1,,FALSE,FALSE,,,ED2-1000-80-35-UB-4-W-W-UNV-MD-1-45D-CA(36)-FL-C(REMOTE ENLIGHTED INTEGRAL SENSOR),ED2,Order Flagged
78023-1,,JoeB,MRKT Sample,FALSE,78023,High Priority,1,1,2000,2000,SKETCH,"SKPE-1850-SL 60/40-ARC-AL(7'10 1/4"")-800-80-30-SO-C(Pantone293C)-UNV-D-1-CA(36)",11.01.2019,12,Wiring Started,Must be ready January 11th for show on January 15th,Picked - Complete,09.01.2019,,FALSE,,C - Small,"1,4,7",1,4,,Picked - Complete,Picked - Complete,OK,Wiring Started,,01.01.2020,,1,#REF!,Complete,0,FALSE,0,78023-1,0.2,0:10:55,12,2000,1,12,2000,,0,11.01.2019,Wiring Started,,0,1,,TRUE,FALSE,,Done,"SKPE-1850-SL 60/40-ARC-AL(7'10 1/4"")-800-80-30-SO-C(Pantone293C)-UNV-D-1-CA(36)",SKPE,Order Flagged
78023-2,,JoeB,MRKT Sample,FALSE,78023,High Priority,2,1,2670,2670,STENCIL,"STFC-NO-NO-B(4' 7"")-80-35-AL(1)+SLV(1)-C(RED RAL 3020)-UNV-MD-1-CA(36)-SC-C(14' POWER CORD)-AC(2)-D20-W",11.01.2019,11,Wiring Started,Must be ready January 11th for show on January 15th,Picked - Complete,09.01.2019,13.01.2019,FALSE,,C - Small,"1,4,7",3,2,Picked - Complete,Picked - Complete,Picked - Complete,OK,Wiring Started,,01.01.2020,,0,#REF!,Complete,Electrical issue,FALSE,Electrical issue,78023-2,0.183333333,0:10:01,3.666666667,890,3,11,2670,,0,11.01.2019,Wiring Started,,0,3,,TRUE,TRUE,,Done,"STFC-NO-NO-B(4' 7"")-80-35-AL(1)+SLV(1)-C(RED RAL 3020)-UNV-MD-1-CA(36)-SC-C(14' POWER CORD)-AC(2)-D20-W",STFC,Order Flagged
78023-3,,JoeB,MRKT Sample,FALSE,78023,High Priority,3,1,260,260,EDGE,SP18493(1)-ED2-500-80-30-UB-2-W-BLK-UNV-MD-1-45D-CA(36)-FL-C(RAL1026 END CAPS),11.01.2019,4.74,Wiring Started,Must be ready January 11th for show on January 15th,Picked - Complete,09.01.2019,,TRUE,,C - Small,"1,4,7",1,1,,Picked - Complete,Picked - Complete,OK,Wiring Started,,01.01.2020,,0,#REF!,Complete,Others,TRUE,,78023-3,0.079,0:04:19,4.74,260,1,4.74,260,,0,11.01.2019,Wiring Started,,0,1,,TRUE,FALSE,,Done,ED2-500-80-30-UB-2-W-BLK-UNV-M,ED2,Order Flagged
78023-4,,JoeB,MRKT Sample,FALSE,78023,High Priority,4,2,2840,2840,EDGE PAT,ED2S-500-80-30-UB-9-W-C(GOLD MICROGROOVE)-UNV-MD-1-SCE-S-FL-C(MOUNTED VERTICALLY ON WALL),11.01.2019,20,Wiring Started,Must be ready January 11th for show on January 15th,Picked - Complete,09.01.2019,,FALSE,,C - Small,"1,4,7",2,6,,Picked - Complete,Picked - Complete,OK,Wiring Started,,01.01.2020,,0,#REF!,Complete,Electrical issue,FALSE,Electrical issue,78023-4,0.333333333,0:18:12,10,1420,2,20,2840,,0,11.01.2019,Wiring Started,,0,2,,TRUE,FALSE,,Done,ED2S-500-80-30-UB-9-W-C(GOLD MICROGROOVE)-UNV-MD-1-SCE-S-FL-C(MOUNTED VERTICALLY ON WALL),ED2S,Order Flagged
78023-5,,JoeB,MRKT Sample,FALSE,78023,High Priority,5,1,228,228,SCULPT,SCDMLO-MLB(2)-200-80-30-ST-GR-W-UNV-DP-1-CA(36),11.01.2019,5,Wiring Started,Must be ready January 11th for show on January 15th,Picked - Complete,09.01.2019,13.01.2019,FALSE,,C - Small,"1,4,7",1,1,Picked - Complete,Picked - Complete,Picked - Complete,OK,Wiring Started,,01.01.2020,,0,#REF!,Complete,0,FALSE,0,78023-5,0.083333333,0:04:33,5,228,1,5,228,,0,11.01.2019,Wiring Started,,0,1,,TRUE,FALSE,,Done,SCDMLO-MLB(2)-200-80-30-ST-GR-W-UNV-DP-1-CA(36),SCDMLO,Order Flagged
73536-2,,stanb,NPI,FALSE,73536,Regular,2,1,1200,1200,B,NPI-15049-SL-500-80-35-L-16-W-UNV-DP-1-ST,25.01.2019,0,Scheduled/Released,WALL WASH NPI,,,,FALSE,,C - Small,"1,4,7",2,4,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0,0:00:00,0,600,2,0,1200,,- ,- ,Scheduled/Released,,0,2,,FALSE,FALSE,,,NPI-15049-SL-500-80-35-L-16-W-UNV-DP-1-ST,NPI,
75467-1,,stanb,NPI,FALSE,75467,Regular,1,3,900,900,L-01.4-3',NPI-N17007-SCDM-3'-(3)-1000-90-TW2750-D55-BLK-W-UNV-O(DALIDT6)-1-CA(72)-LBC,29.11.2018,0,Machine Shop Finished,"HARVARD NPI - MUST DO ON TIME!!!
RE-SCHEDULED TO NOV 29th (from 11/09) - PER FAIZ",Picked - Complete,,,TRUE,,A - Regular,"1,4,7",3,3,,,,NO,Machine Shop Finished - Incomplete,Material+Cartridge,01.01.2020,,1,#REF!,Complete,Missing info. In SD,TRUE,,- ,0,0:00:00,0,300,3,0,900,,- ,- ,Machine Shop Finished,,0,3,,TRUE,TRUE,,Done,NPI-N17007-SCDM-3'-(3)-1000-90-TW2750-D55-BLK-W-UNV-O(DALIDT6)-1-CA(72)-LBC,NPI,
75467-2,,stanb,NPI,FALSE,75467,Regular,2,3,900,900,L-01.11-3',"NPI-N17007-SCRM-3'-(3)-1000-90-TW2750-D55-BLK-C(HS512W1186)-UNV-O(DALIDT6)-1-TB15-LBC-C(PENDANT HANGERS 72"" WITH CORD)",29.11.2018,0,Machine Shop Finished,"HARVARD NPI - MUST DO ON TIME!!!
RE-SCHEDULED TO NOV 29th (from 11/09) - PER FAIZ",Picked - Complete,,,TRUE,,A - Regular,"1,4,7",3,3,,,,NO,Machine Shop Finished - Incomplete,Material+Cartridge,01.01.2020,,0,#REF!,Complete,Shortage,TRUE,,- ,0,0:00:00,0,300,3,0,900,,- ,- ,Machine Shop Finished,,0,3,,TRUE,TRUE,,Done,"NPI-N17007-SCRM-3'-(3)-1000-90-TW2750-D55-BLK-C(HS512W1186)-UNV-O(DALIDT6)-1-TB15-LBC-C(PENDANT HANGERS 72"" WITH CORD)",NPI,
