Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,Production Schedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Schedule dashboard,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,PRIORITY SEQUENCE,Column1,Column12,Real Status,PRIORITY2,Completed Sections,Remaining Sections,Column4,Saw,BA ,weld,lens,Product Name,Short Name,Order Issue
76029-2,,Joshua,Regular,FALSE,76029,Regular,2,14,0,5670,F1A-6',BBRLED-750-90-35-FL-6'-W-UNV-DP-1-TG9-CP,17.01.2019,114.8,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"12,4",14,28,,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,1.913333333,1:44:28,8.2,405,14,114.8,5670,,- ,- ,Machine Shop Finished,,0,14,,TRUE,TRUE,,Done,BBRLED-750-90-35-FL-6'-W-UNV-DP-1-TG9-CP,BBRLED,Order Flagged
76029-3,,Joshua,Regular,FALSE,76029,Regular,3,3,0,1620,F1A-8',BBRLED-750-90-35-FL -8'-W-UNV-DP-1-TG9-CP,17.01.2019,24.6,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"12,4",3,6,,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.41,0:22:23,8.2,540,3,24.6,1620,,- ,- ,Machine Shop Finished,,0,3,,TRUE,TRUE,,Done,BBRLED-750-90-35-FL -8'-W-UNV-DP-1-TG9-CP,BBRLED,Order Flagged
76029-4,,Joshua,Regular,FALSE,76029,Regular,4,1,0,674,F1A-10',BBRLED-750-90-35-FL-10'-W-UNV-DP-1-TG9-CP,17.01.2019,11.65,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"12,4",1,3,,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.194166667,0:10:36,11.65,674,1,11.65,674,,- ,- ,Machine Shop Finished,,0,1,,TRUE,TRUE,,Done,BBRLED-750-90-35-FL-10'-W-UNV-DP-1-TG9-CP,BBRLED,Order Flagged
76029-5,,Joshua,Regular,FALSE,76029,Regular,5,2,0,1618,F1A-12',BBRLED-750-90-35-FL-12'-W-UNV-DP-1-TG9-CP,17.01.2019,23.3,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"12,4",2,6,,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.388333333,0:21:12,11.65,809,2,23.3,1618,,- ,- ,Machine Shop Finished,,0,2,,TRUE,TRUE,,Done,BBRLED-750-90-35-FL-12'-W-UNV-DP-1-TG9-CP,BBRLED,Order Flagged
76029-6,,Joshua,Regular,FALSE,76029,Regular,6,2,0,810,F1B-6',BBRLED-750-90-35-FL-16'-W-UNV-DP-1-D-C(CP),17.01.2019,34.12,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"12,4",4,8,,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.568666667,0:31:03,8.53,202.5,4,34.12,810,,- ,- ,Machine Shop Finished,,0,4,,TRUE,TRUE,,Done,BBRLED-750-90-35-FL-16'-W-UNV-DP-1-D-C(CP),BBRLED,Order Flagged
76029-7,,Joshua,Regular,FALSE,76029,Regular,7,3,0,1620,F1B-8',BBRLED-750-90-35-FL-8'-W-UNV-DP-1-D-C(CP),17.01.2019,24.6,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"12,4",3,6,,Picked - Complete,Picked - Complete,OK,Machine Shop Finished -Ready,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.41,0:22:23,8.2,540,3,24.6,1620,,- ,- ,Machine Shop Finished,,0,3,,TRUE,TRUE,,Done,BBRLED-750-90-35-FL-8'-W-UNV-DP-1-D-C(CP),BBRLED,Order Flagged
76029-8,,Joshua,Regular,FALSE,76029,Regular,8,7,0,4095,F4-8',BMDLED-500-90-35-SO-8-W-UNV-DP-1-CA(144),17.01.2019,52.15,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"4,10",7,14,,,Picked - Complete,OK,Machine Shop Finished -Ready,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.869166667,0:47:27,7.45,585,7,52.15,4095,,- ,- ,Machine Shop Finished,,0,7,,TRUE,TRUE,,Done,BMDLED-500-90-35-SO-8-W-UNV-DP-1-CA(144),BMDLED,Order Flagged
76029-9,,Joshua,Regular,FALSE,76029,Regular,9,1,0,558,F14-9',BRLED-600-90-35-FL-9'-W-UNV-DP-1-DF-CP,17.01.2019,14.18,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"4,10",1,3,,,Picked - Complete,OK,Machine Shop Finished -Ready,,,,0,1,Partial Order,Wrong info. In SD,FALSE,Wrong info. In SD,- ,0.236333333,0:12:54,14.18,558,1,14.18,558,,- ,- ,Machine Shop Finished,,0,1,,TRUE,FALSE,,Done,BRLED-600-90-35-FL-9'-W-UNV-DP-1-DF-CP,BRLED,Order Flagged
76029-10,,Joshua,Regular,FALSE,76029,Regular,10,1,0,682,F14-11',BRLED-600-90-35-FL-11'-W-UNV-DP-1-DF-CP,17.01.2019,14.18,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"4,10",1,3,,,Picked - Complete,OK,Machine Shop Finished -Ready,,,,0,1,Partial Order,Wrong info. In SD,FALSE,Wrong info. In SD,- ,0.236333333,0:12:54,14.18,682,1,14.18,682,,- ,- ,Machine Shop Finished,,0,1,,TRUE,FALSE,,Done,BRLED-600-90-35-FL-11'-W-UNV-DP-1-DF-CP,BRLED,Order Flagged
76029-11,,Joshua,Regular,FALSE,76029,Regular,11,1,0,744,F14-12',BRLED-600-90-35-FL-12'-W-UNV-DP-1-DF-CP,17.01.2019,14.18,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"4,10",1,3,,,Picked - Complete,OK,Machine Shop Finished -Ready,,,,0,1,Partial Order,Wrong info. In SD,FALSE,Wrong info. In SD,- ,0.236333333,0:12:54,14.18,744,1,14.18,744,,- ,- ,Machine Shop Finished,,0,1,,TRUE,FALSE,,Done,BRLED-600-90-35-FL-12'-W-UNV-DP-1-DF-CP,BRLED,Order Flagged
76029-13,,Joshua,Regular,FALSE,76029,Regular,13,2,0,2340,F4-16',BMDLED-500-90-35-SO-16-W-UNV-DP-1-CA(144),17.01.2019,29.14,Machine Shop Finished,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"4,10",4,8,,,Picked - Complete,OK,Machine Shop Finished -Ready,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.485666667,0:26:31,7.285,585,4,29.14,2340,,- ,- ,Machine Shop Finished,,0,4,,TRUE,TRUE,,Done,BMDLED-500-90-35-SO-16-W-UNV-DP-1-CA(144),BMDLED,Order Flagged
76029-14,,Joshua,Regular,FALSE,76029,Regular,14,7,0,8890,F4-16' DAY,BMDLED-500-90-35-SO-16-W-UNV-DP-2-CA(144),17.01.2019,154.21,Machine Shop Started,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"4,10",14,28,,,Picked - Complete,OK,Machine Shop Started,#NAME?,,,1,1,Partial Order,Wrong info. In SD,FALSE,Wrong info. In SD,- ,2.570166667,2:20:20,11.015,635,14,154.21,8890,,- ,- ,Machine Shop Finished,,0,14,,TRUE,FALSE,,Done,BMDLED-500-90-35-SO-16-W-UNV-DP-2-CA(144),BMDLED,Order Flagged
76029-15,,Joshua,Regular,FALSE,76029,Regular,15,6,0,15240,F4-32' DAY,BMDLED-500-90-35-SO-32-W-UNV-DP-2-CA(144),17.01.2019,170.22,Machine Shop Started,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"4,10",18,42,,,Picked - Complete,OK,Machine Shop Started,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,2.837,2:34:54,9.456666667,846.6666667,18,170.22,15240,,- ,- ,Machine Shop Finished,,0,18,,TRUE,FALSE,,Done,BMDLED-500-90-35-SO-32-W-UNV-DP-2-CA(144),BMDLED,Order Flagged
76029-16,,Joshua,Regular,FALSE,76029,Regular,16,1,0,2594,F4-32' DAY/EM,BMDLED-500-90-35-SO-32-W-UNV-DP-2+E(1)-CA(144),17.01.2019,29.68,Machine Shop Started,,Picked - Complete,08.01.2019,,FALSE,,A - Regular,"4,10",3,7,,,Picked - Complete,OK,Machine Shop Started,#NAME?,,,0,1,Partial Order,0,FALSE,0,- ,0.494666667,0:27:01,9.893333333,864.6666667,3,29.68,2594,,- ,- ,Machine Shop Finished,,0,3,,TRUE,FALSE,,Done,BMDLED-500-90-35-SO-32-W-UNV-DP-2+E(1)-CA(144),BMDLED,Order Flagged
69622-1,,JessicaP,Regular,FALSE,69622,Regular,1,2,0,2040,L-12',"B2SQDLED-500-80-35-SO-12'-BLK-UNV-DP-1-CA(36"")",16.01.2019,18.24,Machine Shop Finished,,,,,FALSE,,C - Small,"4,10",2,6,,,,OK,Machine Shop Finished -Ready,,15.01.2019,,1,#REF!,Complete,0,FALSE,0,69622-1,0.304,0:16:36,9.12,1020,2,18.24,2040,,0,14.01.2019,Wiring Started,,0,2,,TRUE,TRUE,,Done,"B2SQDLED-500-80-35-SO-12'-BLK-UNV-DP-1-CA(36"")",B2SQDLED,
77596-1,,Joshua,Regular,FALSE,77596,Regular,1,15,0,21825,H1-12',TB2DILED-600-400-80-30-SL-SO-12-BLK-UNV-DP-1-CA(36),24.01.2019,210,Scheduled/Released,,,,,FALSE,,A - Regular,"4,10",15,75,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,1,1,Partial Order,0,FALSE,0,- ,3.5,3:11:06,14,1455,15,210,21825,,- ,- ,Scheduled/Released,,0,15,,FALSE,FALSE,,,TB2DILED-600-400-80-30-SL-SO-12-BLK-UNV-DP-1-CA(36),TB2DILED,
77596-2,,Joshua,Regular,FALSE,77596,Regular,2,6,0,5820,H1A-8',TB2DILED-600-400-80-30-SL-SO-8-BLK-UNV-DP-1-CA(36),24.01.2019,60,Scheduled/Released,,,,,FALSE,,A - Regular,"4,10",6,24,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,1,Partial Order,0,FALSE,0,- ,1,0:54:36,10,970,6,60,5820,,- ,- ,Scheduled/Released,,0,6,,FALSE,FALSE,,,TB2DILED-600-400-80-30-SL-SO-8-BLK-UNV-DP-1-CA(36),TB2DILED,
77596-3,,Joshua,Regular,FALSE,77596,Regular,3,2,0,1790,H9-8',TB2DILED-400-750-80-35-SO-SO-8-BLK-UNV-DP-1-CA(48),24.01.2019,20,Scheduled/Released,,,,,FALSE,,A - Regular,"4,10",2,8,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,1,Partial Order,0,FALSE,0,- ,0.333333333,0:18:12,10,895,2,20,1790,,- ,- ,Scheduled/Released,,0,2,,FALSE,FALSE,,,TB2DILED-400-750-80-35-SO-SO-8-BLK-UNV-DP-1-CA(48),TB2DILED,
77596-4,,Joshua,Regular,FALSE,77596,Regular,4,1,0,584,H4,BMRLED-750-80-30-RG-8-W-120-DP-1-TB15,24.01.2019,7,Scheduled/Released,,,,,FALSE,,A - Regular,"4,10",1,2,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,1,Partial Order,0,FALSE,0,- ,0.116666667,0:06:22,7,584,1,7,584,,- ,- ,Scheduled/Released,,0,1,,FALSE,FALSE,,,BMRLED-750-80-30-RG-8-W-120-DP-1-TB15,BMRLED,
77842-1,,Rohan,Regular,FALSE,77842,Regular,1,4,0,1360,F3-4',BBRLED-400-80-30-FL-4'-W-UNV-DP-1-DS,16.01.2019,19.92,Machine Shop Finished,,Picked - Complete,07.01.2019,,FALSE,,C - Small,"4,10",4,4,,,Picked - Complete,OK,Machine Shop Finished -Ready,,15.01.2019,,1,#REF!,Complete,0,FALSE,0,77842-1,0.332,0:18:08,4.98,340,4,19.92,1360,,0,14.01.2019,Machine Shop Finished,,0,4,,TRUE,TRUE,,Done,BBRLED-400-80-30-FL-4'-W-UNV-DP-1-DS,BBRLED,
78207-1,,Shivam,Regular,FALSE,78207,Regular,1,4,0,1640,"H-1""",SKFLED-22-2400-80-35-1SF-W-UNV-DP-1-TB9,23.01.2019,8.96,Scheduled/Released,NO LATER THAN JANUARY 30TH,,,,FALSE,,A - Regular,"4,10",4,4,,,,NO,Scheduled/Released,Material+lens+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0.149333333,0:08:58,2.24,410,4,8.96,1640,,- ,- ,Scheduled/Released,,0,4,,FALSE,FALSE,,,SKFLED-22-2400-80-35-1SF-W-UNV-DP-1-TB9,SKFLED,
78207-2,,Shivam,Regular,FALSE,78207,Regular,2,4,0,1680,"H-3""",SKFLED-22-2400-80-35-3SF-W-UNV-DP-1-TB9,23.01.2019,8.96,Scheduled/Released,NO LATER THAN JANUARY 30TH,,,,FALSE,,A - Regular,"4,10",4,4,,,,NO,Scheduled/Released,Material+lens+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.149333333,0:08:58,2.24,420,4,8.96,1680,,- ,- ,Scheduled/Released,,0,4,,FALSE,FALSE,,,SKFLED-22-2400-80-35-3SF-W-UNV-DP-1-TB9,SKFLED,
78207-3,,Shivam,Regular,FALSE,78207,Regular,3,4,0,1680,"H-5""",SKFLED-22-2400-80-35-5SF-W-UNV-DP-1-TB9,23.01.2019,8.96,Scheduled/Released,NO LATER THAN JANUARY 30TH,,,,FALSE,,A - Regular,"4,10",4,4,,,,NO,Scheduled/Released,Material+lens+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.149333333,0:08:58,2.24,420,4,8.96,1680,,- ,- ,Scheduled/Released,,0,4,,FALSE,FALSE,,,SKFLED-22-2400-80-35-5SF-W-UNV-DP-1-TB9,SKFLED,
73393-21,,Joshua,Regular,FALSE,73393,Regular,21,27,0,14256,"LT03-7'0""","BMRLED-500-90-30-FL-7' 0""-W-UNV-DP-1-D-CP",23.01.2019,288.9,Machine Shop Started,,Picked - Complete,13.01.2019,,FALSE,,A - Regular,"4,10",27,54,,,Picked - Complete,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,4.815,4:22:54,10.7,528,27,288.9,14256,,- ,- ,Machine Shop Started,,0,27,,FALSE,FALSE,,,"BMRLED-500-90-30-FL-7' 0""-W-UNV-DP-1-D-CP",BMRLED,
73393-22,,Joshua,Regular,FALSE,73393,Regular,22,5,0,4950,"LT03-13'10""","BMRLED-500-90-30-FL-13' 10""-W-UNV-DP-1-DS-CP",23.01.2019,110,Machine Shop Started,,Picked - Complete,13.01.2019,,FALSE,,A - Regular,"4,10",10,15,,,Picked - Complete,NO,Machine Shop Started,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,1.833333333,1:40:06,11,495,10,110,4950,,- ,- ,Machine Shop Started,,0,10,,FALSE,FALSE,,,"BMRLED-500-90-30-FL-13' 10""-W-UNV-DP-1-DS-CP",BMRLED,
77626-1,,Joshua,Regular,FALSE,77626,Regular,1,1,0,2978,B-2'X12',"SCDI-300-500-80-35-SO-FL-2'X12'-W-UNV-DP-1-CT9(36"")",17.01.2019,39.5,Machine Shop Started,,Picked - Complete,11.01.2019,,FALSE,,C - Small,"4,10",1,6,,Picked - Complete,Picked - Complete,NO,Machine Shop Started,#NAME?,,,1,1,Partial Order,0,FALSE,0,- ,0.658333333,0:35:57,39.5,2978,1,39.5,2978,,- ,- ,Machine Shop Started,,0,1,,FALSE,FALSE,,,"SCDI-300-500-80-35-SO-FL-2'X12'-W-UNV-DP-1-CT9(36"")",SCDI,
76658-1,,stanb,Regular,FALSE,76658,High Priority,1,10,0,10500,G15,SCR-400-80-35-0.5M-4X4-W-277-DP-1-MFST,10.01.2019,170,Wiring Started,NO LATER THAN JANAURY 15TH,Picked - Complete,02.01.2019,09.01.2019,FALSE,,A - Regular,"4,10",10,20,Picked - Complete,Picked - Complete,Picked - Complete,OK,Wiring Started,,14.01.2019,,1,#REF!,Complete,0,FALSE,0,76658-1,2.833333333,2:34:42,17,1050,10,170,10500,,0,14.01.2019,x,,10,0,,TRUE,TRUE,Ready,,SCR-400-80-35-0.5M-4X4-W-277-DP-1-MFST,SCR,
76658-2,,stanb,Regular,FALSE,76658,High Priority,2,2,0,3320,G16,SCR-400-80-35-0.5M-4X6-W-277-DP-1-MFST,10.01.2019,36,Wiring Started,NO LATER THAN JANAURY 15TH,Picked - Complete,02.01.2019,09.01.2019,FALSE,,A - Regular,"4,10",4,4,Picked - Complete,Picked - Complete,Picked - Complete,OK,Wiring Started,,14.01.2019,,0,#REF!,Complete,0,FALSE,0,76658-2,0.6,0:32:46,9,830,4,36,3320,,0,14.01.2019,x,,4,0,,TRUE,TRUE,Ready,,SCR-400-80-35-0.5M-4X6-W-277-DP-1-MFST,SCR,
76658-3,,stanb,Regular,FALSE,76658,High Priority,3,1,0,640.49,G21,SCR-400-80-35-0.5M-6-W-277-DP-1-MFST,10.01.2019,6,Wiring Started,NO LATER THAN JANAURY 15TH,Picked - Complete,02.01.2019,09.01.2019,FALSE,,A - Regular,"4,10",1,1,Picked - Complete,Picked - Complete,Picked - Complete,OK,Wiring Started,,14.01.2019,,0,#REF!,Complete,0,FALSE,0,76658-3,0.1,0:05:28,6,640.49,1,6,640.49,,0,14.01.2019,x,,0,1,,TRUE,TRUE,Ready,,SCR-400-80-35-0.5M-6-W-277-DP-1-MFST,SCR,
76990-1,,Joshua,Regular,FALSE,76990,Regular,1,2,0,9436,B,"SKPE-10005-SL 60/40-CIR-AL15' 8 1/2""-1000-80-40-SO-W-UNV-D-1-CA(36"")-C(F)",09.01.2019,80,Machine Shop Started,,Picked - Complete,27.12.2018,03.01.2019,FALSE,,C - Small,"4,10",8,16,Picked - Complete,,Picked - Complete,NO,Machine Shop Started,Material+lens+Housing,01.01.2020,,1,1,Partial Order,Shortage,TRUE,,- ,1.333333333,1:12:48,10,1179.5,8,80,9436,,- ,- ,Machine Shop Finished,,0,8,,FALSE,FALSE,,Done,"SKPE-10005-SL 60/40-CIR-AL15' 8 1/2""-1000-80-40-SO-W-UNV-D-1-CA(36"")-C(F)",SKPE,
77764-1,,Zahra,Regular,FALSE,77764,Regular,1,2,0,888,A-8',TB-S-8'-NL-T5-2-W-UNV-ERS-1-CA(36),17.01.2019,15,Machine Shop Started,,,,,FALSE,,C - Small,"4,10",2,4,,,,NO,Machine Shop Started,#NAME?,,,1,1,Partial Order,0,FALSE,0,- ,0.25,0:13:39,7.5,444,2,15,888,,- ,- ,Machine Shop Started,,0,2,,FALSE,FALSE,,,TB-S-8'-NL-T5-2-W-UNV-ERS-1-CA(36),TB,
74543-1,,Jessica,Regular,FALSE,74543,Regular,1,16,0,22400,IG1,CCL-SL-400-80-27-CL(15')-C(PP G1035-6)-120-DP-1-C,23.01.2019,224.48,Scheduled/Released,,,,,FALSE,,A - Regular,"4,10",32,64,,,,NO,Scheduled/Released,Material+lens+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,3.741333333,3:24:17,7.015,700,32,224.48,22400,,- ,- ,Scheduled/Released,,0,32,,FALSE,FALSE,,,CCL-SL-400-80-27-CL(15')-C(PP G1035-6)-120-DP-1-C,CCL,
77992-1,,Sacha,Regular,FALSE,77992,High Priority,1,7,0,2142,A-4SF,SKFLED-22-2400-80-35-4SF-W-UNV-DP-1-TG9-FW(6),23.01.2019,16.8,Scheduled/Released,"ON SITE DATE OF FEB 1ST. - Going To: Phoenix AZ 85034
MUST SHIP NO LATER THAN JAN.24TH",,,,FALSE,,A - Regular,"12,4",7,7,,,,NO,Scheduled/Released,Material+lens+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0.28,0:16:48,2.4,306,7,16.8,2142,,- ,- ,Scheduled/Released,,0,7,,FALSE,FALSE,,,SKFLED-22-2400-80-35-4SF-W-UNV-DP-1-TG9-FW(6),SKFLED,
77992-2,,Sacha,Regular,FALSE,77992,High Priority,2,13,0,4992,L-6',SCR-500-80-35-0.5M-6'-W-UNV-DP-1-TG9-FW(6),23.01.2019,72.8,Scheduled/Released,"ON SITE DATE OF FEB 1ST. - Going To: Phoenix AZ 85034
MUST SHIP NO LATER THAN JAN.24TH",Picked - Complete,,,FALSE,,A - Regular,"12,4",13,13,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,1.213333333,1:12:48,5.6,384,13,72.8,4992,,- ,- ,Scheduled/Released,,0,13,,FALSE,FALSE,,,SCR-500-80-35-0.5M-6'-W-UNV-DP-1-TG9-FW(6),SCR,
77992-3,,Sacha,Regular,FALSE,77992,High Priority,3,4,0,2960,L12-12',SCR-500-80-35-0.5M-12'-W-UNV-DP-1-TG9-FW(6),23.01.2019,30.4,Scheduled/Released,"ON SITE DATE OF FEB 1ST. - Going To: Phoenix AZ 85034
MUST SHIP NO LATER THAN JAN.24TH",Picked - Complete,,,FALSE,,A - Regular,"12,4",4,8,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.506666667,0:30:24,7.6,740,4,30.4,2960,,- ,- ,Scheduled/Released,,0,4,,FALSE,FALSE,,,SCR-500-80-35-0.5M-12'-W-UNV-DP-1-TG9-FW(6),SCR,
77611-1,,stanb,Regular,FALSE,77611,Regular,1,2,0,1137.5,F1,STSLF-SO-400-80-35-8-AP-UNV-MD-1-SG9,23.01.2019,14,Scheduled/Released,,Picked - Complete,,,FALSE,,C - Small,"12,4",2,2,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,0.233333333,0:12:44,7,568.75,2,14,1137.5,,- ,- ,Scheduled/Released,,0,2,,FALSE,FALSE,,,STSLF-SO-400-80-35-8-AP-UNV-MD-1-SG9,STSLF,
77611-2,,stanb,Regular,FALSE,77611,Regular,2,1,0,3960,F2,STSFF-SO(40-400)-80-35-AX(3)-AP-UNV-MD-1-SG9,23.01.2019,56,Scheduled/Released,,Picked - Complete,,,FALSE,,C - Small,"12,4",10,10,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.933333333,0:50:58,5.6,396,10,56,3960,,- ,- ,Scheduled/Released,,0,10,,FALSE,FALSE,,,STSFF-SO(40-400)-80-35-AX(3)-AP-UNV-MD-1-SG9,STSFF,
77611-3,,stanb,Regular,FALSE,77611,Regular,3,2,0,4940,F6,STFDI-I-500-DSO-400-12'-80-35-AH(6)-AP-UNV-DP-2-CA(48)-RC,23.01.2019,104,Scheduled/Released,,Picked - Complete,,,FALSE,,C - Small,"12,4",12,0,,,,NO,Scheduled/Released,Material+lens+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,1.733333333,1:34:38,8.666666667,411.6666667,12,104,4940,,- ,- ,Scheduled/Released,,0,12,,FALSE,FALSE,,,STFDI-I-500-DSO-400-12'-80-35-AH(6)-AP-UNV-DP-2-CA(48)-RC,STFDI,
76786-1,,Rajithan,Regular,FALSE,76786,Regular,1,6,0,7800,J10-16,CUBLED-SL 75/25-1300-80-40-SO-16-W-UNV-DP-1-CT15(24),30.01.2019,138,Scheduled/Released,SHIP ON 02/01/19 AND NOT BEFORE.,,,,FALSE,,A - Regular,"12,4",12,48,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,2.3,2:05:35,11.5,650,12,138,7800,,- ,- ,Scheduled/Released,,0,12,,FALSE,FALSE,,,CUBLED-SL 75/25-1300-80-40-SO-16-W-UNV-DP-1-CT15(24),CUBLED,
76786-2,,Rajithan,Regular,FALSE,76786,Regular,2,6,0,9420,J10-16 NL,CUBLED-SL 75/25-1300-80-40-SO-16-W-UNV-DP-1+NL(2)-CT15(24),30.01.2019,144,Scheduled/Released,SHIP ON 02/01/19 AND NOT BEFORE.,,,,FALSE,,A - Regular,"4,10",12,48,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,2.4,2:11:02,12,785,12,144,9420,,- ,- ,Scheduled/Released,,0,12,,FALSE,FALSE,,,CUBLED-SL 75/25-1300-80-40-SO-16-W-UNV-DP-1+NL(2)-CT15(24),CUBLED,
76786-3,,Rajithan,Regular,FALSE,76786,Regular,3,4,0,2624.8,J10-8,CUBLED-SL 75/25-1300-80-40-SO-8-W-UNV-DP-1-CA(24),30.01.2019,48,Scheduled/Released,SHIP ON 02/01/19 AND NOT BEFORE.,,,,FALSE,,A - Regular,"4,10",4,16,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.8,0:43:41,12,656.2,4,48,2624.8,,- ,- ,Scheduled/Released,,0,4,,FALSE,FALSE,,,CUBLED-SL 75/25-1300-80-40-SO-8-W-UNV-DP-1-CA(24),CUBLED,
75690-1,,Christina,Regular,FALSE,75690,Priority,1,2,0,10660,L9-A,"SP18422(1)-STFC-I(22-350)-DML(32-600)+DML(6-225)-B(10)-80-35-AL(7)+AT(3)+SLV(4)-BLK-UNV-MD-1-CT15(80"")-RC-C(VERTICAL TO BE DML225LM)",04.01.2019,170,Machine Shop Finished,"must ship  no later than Jan 11th,",,20.12.2018,,FALSE,,C - Small,"4,10",36,32,,Picked - Complete,Picked - Short,OK,Machine Shop Finished -Ready,,01.01.2020,,1,1,Partial Order,Shortage,FALSE,Shortage,- ,2.833333333,2:34:42,4.722222222,296.1111111,36,170,10660,,- ,- ,Machine Shop Finished,,0,36,,TRUE,FALSE,,Done,STFC-I(22-350)-DML(32-600)+DML,STFC,Order Flagged
75690-2,,Christina,Regular,FALSE,75690,Priority,2,2,0,10660,L9-B,"SP18422(1)-STFC-I(22-350)-DML(32-600)+DML(6-225)-B(10)-80-35-AL(7)+AT(3)+SLV(4)-BLK-UNV-MD-1-CT15(80"")-RC-C(VERTICAL TO BE DML225LM)",04.01.2019,170,Machine Shop Finished,"must ship  no later than Jan 11th,",,,,TRUE,,C - Small,"4,10",36,32,,Picked - Complete,,OK,Machine Shop Finished -Ready,,01.01.2020,,0,1,Partial Order,Shortage,TRUE,,- ,2.833333333,2:34:42,4.722222222,296.1111111,36,170,10660,,- ,- ,Machine Shop Finished,,0,36,,TRUE,FALSE,,Done,STFC-I(22-350)-DML(32-600)+DML,STFC,Order Flagged
